"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3142","Locator Type demo","chromium","2026-02-21","passed","2026-02-21","","locatiorTypedemo.spec.js","",""
"","6404","@API Network call for abort and print all API request and reponse status","","2026-02-02","passed","2026-02-02","","NetworkTest3.spec.js","",""
"","345","Upload file","chromium","2026-02-21","passed","2026-02-21","","MoreValidations.spec.js","",""
"","14042","Client App test","","2026-02-02","passed","2026-02-02","","ClientAppTestPO.spec.js","",""
"","21472","visual","","2026-02-02","passed","2026-02-02","","MoreValidations.spec.js","",""
"","28662","download file","","2026-02-02","passed","2026-02-02","","MoreValidations.spec.js","",""
"","11940","Client App test without PO","chromium","2026-02-21","passed","2026-02-21","","ClientAppTest.spec.js","",""
"","3869","Alert validation and action","chromium","2026-02-21","passed","2026-02-21","","MoreValidations.spec.js","",""
"","8152","@Web Read web table data from W3Schools","","2026-02-02","passed","2026-02-02","","Webtable.spec.js","",""
"","230","API 02 - Get all products","","2026-02-02","passed","2026-02-02","","ApiverificationE2E.spec.js","",""
"","4683","Locator Type demo","","2026-02-02","passed","2026-02-02","","locatiorTypedemo.spec.js","",""
"","10676","Client App test on another way","chromium","2026-02-21","passed","2026-02-21","","ClientAppTestAnotherWay.spec.js","",""
"","2975","WebAPi Itegration with Login and order details !!","","2026-02-02","passed","2026-02-02","","WebApiPart1.spec.js","",""
"","60301","@API WebAPi Itegration with Login and order details !!","chromium","2026-02-21","broken","2026-02-21","","NetworkPart1.spec.js","",""
"","12621","Client App test","chromium","2026-02-21","passed","2026-02-21","","ClientAppTestPO.spec.js","",""
"","7563","Mutltile windows handlers","","2026-02-02","passed","2026-02-02","","UIbasictest.spec.js","",""
"","17712","Client App test without PO","","2026-02-02","passed","2026-02-02","","ClientAppTest.spec.js","",""
"","5589","Login Test - chand7272@gmail.com - Row 1","","2026-02-02","passed","2026-02-02","","loginwithxls.spec.js","",""
"","7798","Ui basic test with more fields validation","","2026-02-02","passed","2026-02-02","","UIbasictest.spec.js","",""
"","844","@Web Match ProductName in web table","chromium","2026-02-21","passed","2026-02-21","","Webtable.spec.js","",""
"","10160","Client App test on another way","chromium","2026-02-21","passed","2026-02-21","","WebApiPart2.spec.js","",""
"","15198","@Web sales site for product validation for Hummingbird printed t-shirt","chromium","2026-02-21","passed","2026-02-21","","onlinesalesTest.spec.js","",""
"","14015","keyboardaction.spec.js","","2026-02-02","passed","2026-02-02","","keyboardaction.spec.js","",""
"","22530","@Web sales site for product validation for Today is a good day Framed","","2026-02-02","passed","2026-02-02","","onlinesalesTest.spec.js","",""
"","11553","Client App test on another way","","2026-02-02","passed","2026-02-02","","ClientAppTestAnotherWay.spec.js","",""
"","80","seed","chromium","2026-02-21","passed","2026-02-21","Test group","seed.spec.ts","",""
"","4030","@API Network call for abort and print all API request and reponse status","chromium","2026-02-21","passed","2026-02-21","","NetworkTest3.spec.js","",""
